lat,lon,depth,geometry
45.1625,12.1208,-0.0,POINT (45.162498474121094 12.120800018310547)
45.1625,12.125,-0.0,POINT (45.162498474121094 12.125)
45.1625,12.1292,-0.0,POINT (45.162498474121094 12.129199981689453)
45.1625,12.1333,-0.0,POINT (45.162498474121094 12.133299827575684)
45.1625,12.1375,-0.0,POINT (45.162498474121094 12.137499809265137)
45.1625,12.1417,-0.0,POINT (45.162498474121094 12.14169979095459)
45.1625,12.1458,-0.0,POINT (45.162498474121094 12.14579963684082)
45.1625,12.15,-0.0,POINT (45.162498474121094 12.149999618530273)
45.1625,12.1542,-0.0,POINT (45.162498474121094 12.154199600219727)
45.1625,12.1583,-0.0,POINT (45.162498474121094 12.158300399780273)
45.1625,12.1625,-0.0,POINT (45.162498474121094 12.162500381469727)
45.1625,12.1667,-0.0,POINT (45.162498474121094 12.16670036315918)
45.1625,12.1708,-0.0,POINT (45.162498474121094 12.17080020904541)
45.1625,12.175,-0.0,POINT (45.162498474121094 12.175000190734863)
45.1625,12.1792,-0.0,POINT (45.162498474121094 12.179200172424316)
45.1625,12.1833,-0.0,POINT (45.162498474121094 12.183300018310547)
45.1625,12.1875,-0.0,POINT (45.162498474121094 12.1875)
45.1625,12.1917,-0.0,POINT (45.162498474121094 12.191699981689453)
45.1625,12.1958,-0.0,POINT (45.162498474121094 12.195799827575684)
45.1625,12.2,-0.0,POINT (45.162498474121094 12.199999809265137)
45.1625,12.2042,-0.0,POINT (45.162498474121094 12.20419979095459)
45.1625,12.2083,-0.0,POINT (45.162498474121094 12.20829963684082)
45.1625,12.2125,-0.0,POINT (45.162498474121094 12.212499618530273)
45.1625,12.2167,-0.0,POINT (45.162498474121094 12.216699600219727)
45.1625,12.2208,-0.0,POINT (45.162498474121094 12.220800399780273)
45.1625,12.225,-0.0,POINT (45.162498474121094 12.225000381469727)
45.1625,12.2292,-0.0,POINT (45.162498474121094 12.22920036315918)
45.1625,12.2333,-0.0,POINT (45.162498474121094 12.23330020904541)
45.1625,12.2375,-0.0,POINT (45.162498474121094 12.237500190734863)
45.1625,12.2417,-0.0,POINT (45.162498474121094 12.241700172424316)
45.1625,12.2458,-0.0,POINT (45.162498474121094 12.245800018310547)
45.1625,12.25,-0.0,POINT (45.162498474121094 12.25)
45.1625,12.2542,-0.0,POINT (45.162498474121094 12.254199981689453)
45.1625,12.2583,-0.0,POINT (45.162498474121094 12.258299827575684)
45.1625,12.2625,-0.0,POINT (45.162498474121094 12.262499809265137)
45.1625,12.2667,-0.0,POINT (45.162498474121094 12.26669979095459)
45.1625,12.2708,-0.0,POINT (45.162498474121094 12.27079963684082)
45.1625,12.275,-0.0,POINT (45.162498474121094 12.274999618530273)
45.1625,12.2792,-0.0,POINT (45.162498474121094 12.279199600219727)
45.1625,12.2833,-0.0,POINT (45.162498474121094 12.283300399780273)
45.1625,12.2875,-0.0,POINT (45.162498474121094 12.287500381469727)
45.1625,12.2917,-0.0,POINT (45.162498474121094 12.29170036315918)
45.1625,12.2958,-0.0,POINT (45.162498474121094 12.29580020904541)
45.1625,12.3,-0.0,POINT (45.162498474121094 12.300000190734863)
45.1625,12.3042,-0.0,POINT (45.162498474121094 12.304200172424316)
45.1625,12.3083,-0.0,POINT (45.162498474121094 12.308300018310547)
45.1625,12.3125,-0.0,POINT (45.162498474121094 12.3125)
45.1625,12.3167,-0.0,POINT (45.162498474121094 12.316699981689453)
45.1625,12.3208,-0.0,POINT (45.162498474121094 12.320799827575684)
45.1625,12.325,-0.0,POINT (45.162498474121094 12.324999809265137)
45.1625,12.3292,0.7403,POINT (45.162498474121094 12.32919979095459)
45.1625,12.3333,0.4361,POINT (45.162498474121094 12.33329963684082)
45.1625,12.3375,-0.4356,POINT (45.162498474121094 12.337499618530273)
45.1625,12.3417,-2.0257,POINT (45.162498474121094 12.341699600219727)
45.1625,12.3458,-5.2253,POINT (45.162498474121094 12.345800399780273)
45.1625,12.35,-8.6412,POINT (45.162498474121094 12.350000381469727)
45.1625,12.3542,-11.6841,POINT (45.162498474121094 12.35420036315918)
45.1625,12.3583,-14.1435,POINT (45.162498474121094 12.35830020904541)
45.1625,12.3625,-15.536,POINT (45.162498474121094 12.362500190734863)
45.1625,12.3667,-17.0197,POINT (45.162498474121094 12.366700172424316)
45.1625,12.3708,-18.3969,POINT (45.162498474121094 12.370800018310547)
