lat,lon,depth
45.1625,12.1208,-0.0
45.1625,12.125,-0.0
45.1625,12.1292,-0.0
45.1625,12.1333,-0.0
45.1625,12.1375,-0.0
45.1625,12.1417,-0.0
45.1625,12.1458,-0.0
45.1625,12.15,-0.0
45.1625,12.1542,-0.0
45.1625,12.1583,-0.0
45.1625,12.1625,-0.0
45.1625,12.1667,-0.0
45.1625,12.1708,-0.0
45.1625,12.175,-0.0
45.1625,12.1792,-0.0
45.1625,12.1833,-0.0
45.1625,12.1875,-0.0
45.1625,12.1917,-0.0
45.1625,12.1958,-0.0
45.1625,12.2,-0.0
45.1625,12.2042,-0.0
45.1625,12.2083,-0.0
45.1625,12.2125,-0.0
45.1625,12.2167,-0.0
45.1625,12.2208,-0.0
45.1625,12.225,-0.0
45.1625,12.2292,-0.0
45.1625,12.2333,-0.0
45.1625,12.2375,-0.0
45.1625,12.2417,-0.0
45.1625,12.2458,-0.0
45.1625,12.25,-0.0
45.1625,12.2542,-0.0
45.1625,12.2583,-0.0
45.1625,12.2625,-0.0
45.1625,12.2667,-0.0
45.1625,12.2708,-0.0
45.1625,12.275,-0.0
45.1625,12.2792,-0.0
45.1625,12.2833,-0.0
45.1625,12.2875,-0.0
45.1625,12.2917,-0.0
45.1625,12.2958,-0.0
45.1625,12.3,-0.0
45.1625,12.3042,-0.0
45.1625,12.3083,-0.0
45.1625,12.3125,-0.0
45.1625,12.3167,-0.0
45.1625,12.3208,-0.0
45.1625,12.325,-0.0
45.1625,12.3292,0.7403
45.1625,12.3333,0.4361
45.1625,12.3375,-0.4356
45.1625,12.3417,-2.0257
45.1625,12.3458,-5.2253
45.1625,12.35,-8.6412
45.1625,12.3542,-11.6841
45.1625,12.3583,-14.1435
45.1625,12.3625,-15.536
45.1625,12.3667,-17.0197
45.1625,12.3708,-18.3969
45.1625,12.375,-19.5066
45.1625,12.3792,-20.3435
45.1625,12.3833,-20.854
45.1625,12.3875,-21.225
45.1625,12.3917,-21.5528
45.1625,12.3958,-21.9052
45.1625,12.4,-22.3429
45.1625,12.4042,-22.8239
45.1625,12.4083,-23.2491
45.1625,12.4125,-23.6523
45.1625,12.4167,-24.0344
45.1625,12.4208,-24.3564
45.1625,12.425,-24.5983
45.1625,12.4292,-24.7588
45.1625,12.4333,-24.8441
45.1625,12.4375,-24.8545
45.1625,12.4417,-24.7789
45.1625,12.4458,-24.5988
45.1625,12.45,-24.3133
45.1625,12.4542,-23.9448
45.1625,12.4583,-23.4978
45.1625,12.4625,-23.0563
45.1625,12.4667,-22.9653
45.1625,12.4708,-23.2437
45.1625,12.475,-23.7114
45.1625,12.4792,-24.0934
45.1625,12.4833,-24.4626
45.1625,12.4875,-24.7854
45.1625,12.4917,-25.0074
45.1625,12.4958,-25.3602
45.1625,12.5,-25.4423
45.1625,12.5042,-25.2438
45.1625,12.5083,-25.0671
45.1625,12.5125,-24.9193
45.1625,12.5167,-24.89
45.1625,12.5208,-24.9023
45.1625,12.525,-24.9107
45.1625,12.5292,-24.8958
45.1625,12.5333,-24.8652
45.1625,12.5375,-24.8356
45.1625,12.5417,-24.8222
45.1625,12.5458,-24.828
45.1625,12.55,-24.8253
45.1625,12.5542,-24.8156
45.1625,12.5583,-24.8051
45.1625,12.5625,-24.8073
45.1625,12.5667,-24.8205
45.1625,12.5708,-24.8397
45.1625,12.575,-24.8662
45.1625,12.5792,-24.8927
45.1667,12.1208,-0.0
45.1667,12.125,-0.0
45.1667,12.1292,-0.0
45.1667,12.1333,-0.0
45.1667,12.1375,-0.0
45.1667,12.1417,-0.0
45.1667,12.1458,-0.0
45.1667,12.15,-0.0
45.1667,12.1542,-0.0
45.1667,12.1583,-0.0
45.1667,12.1625,-0.0
45.1667,12.1667,-0.0
45.1667,12.1708,-0.0
45.1667,12.175,-0.0
45.1667,12.1792,-0.0
45.1667,12.1833,-0.0
45.1667,12.1875,-0.0
45.1667,12.1917,-0.0
45.1667,12.1958,-0.0
45.1667,12.2,-0.0
45.1667,12.2042,-0.0
45.1667,12.2083,-0.0
45.1667,12.2125,-0.0
45.1667,12.2167,-0.0
45.1667,12.2208,-0.0
45.1667,12.225,-0.0
45.1667,12.2292,-0.0
45.1667,12.2333,-0.0
45.1667,12.2375,-0.0
45.1667,12.2417,-0.0
45.1667,12.2458,-0.0
45.1667,12.25,-0.0
45.1667,12.2542,-0.0
45.1667,12.2583,-0.0
45.1667,12.2625,-0.0
45.1667,12.2667,-0.0
45.1667,12.2708,-0.0
45.1667,12.275,-0.0
45.1667,12.2792,-0.0
45.1667,12.2833,-0.0
45.1667,12.2875,-0.0
45.1667,12.2917,-0.0
45.1667,12.2958,-0.0
45.1667,12.3,-0.0
45.1667,12.3042,-0.0
45.1667,12.3083,-0.0
45.1667,12.3125,-0.0
45.1667,12.3167,-0.0
45.1667,12.3208,-0.0
45.1667,12.325,-0.0
45.1667,12.3292,-0.0
45.1667,12.3333,-0.4084
45.1667,12.3375,-1.4598
45.1667,12.3417,-2.8268
45.1667,12.3458,-6.621
45.1667,12.35,-9.9826
45.1667,12.3542,-12.7004
45.1667,12.3583,-14.8164
45.1667,12.3625,-15.8072
45.1667,12.3667,-17.2825
45.1667,12.3708,-18.3947
45.1667,12.375,-19.473
45.1667,12.3792,-20.2983
45.1667,12.3833,-20.7864
45.1667,12.3875,-21.1369
45.1667,12.3917,-21.4465
45.1667,12.3958,-21.7605
45.1667,12.4,-22.12
45.1667,12.4042,-22.5605
45.1667,12.4083,-22.9932
45.1667,12.4125,-23.4023
45.1667,12.4167,-23.8358
45.1667,12.4208,-24.2351
45.1667,12.425,-24.5239
45.1667,12.4292,-24.7107
45.1667,12.4333,-24.8189
45.1667,12.4375,-24.8643
45.1667,12.4417,-24.8477
