lat,lon,depth,geometry
45.121094,12.222656,0.0,POINT (45.12109375 12.22265625)
45.121094,12.230469,0.0,POINT (45.12109375 12.23046875)
45.121094,12.238281,0.0,POINT (45.12109375 12.23828125)
45.121094,12.246094,0.0,POINT (45.12109375 12.24609375)
45.121094,12.253906,0.0,POINT (45.12109375 12.25390625)
45.121094,12.261719,0.0,POINT (45.12109375 12.26171875)
45.121094,12.269531,0.0,POINT (45.12109375 12.26953125)
45.121094,12.277344,0.0,POINT (45.12109375 12.27734375)
45.121094,12.285156,0.0,POINT (45.12109375 12.28515625)
45.121094,12.292969,0.0,POINT (45.12109375 12.29296875)
45.121094,12.300781,0.0,POINT (45.12109375 12.30078125)
45.121094,12.308594,0.0,POINT (45.12109375 12.30859375)
45.121094,12.316406,0.0,POINT (45.12109375 12.31640625)
45.121094,12.324219,0.0,POINT (45.12109375 12.32421875)
45.121094,12.332031,-2.1483068,POINT (45.12109375 12.33203125)
45.121094,12.339844,-6.4779153,POINT (45.12109375 12.33984375)
45.121094,12.347656,-10.16592,POINT (45.12109375 12.34765625)
45.121094,12.355469,-12.187996,POINT (45.12109375 12.35546875)
45.121094,12.363281,-13.041251,POINT (45.12109375 12.36328125)
45.121094,12.371094,-14.004279,POINT (45.12109375 12.37109375)
45.121094,12.378906,-16.45478,POINT (45.12109375 12.37890625)
45.121094,12.386719,-18.718485,POINT (45.12109375 12.38671875)
45.121094,12.394531,-20.545168,POINT (45.12109375 12.39453125)
45.121094,12.402344,-21.401323,POINT (45.12109375 12.40234375)
45.121094,12.410156,-21.87192,POINT (45.12109375 12.41015625)
45.121094,12.417969,-22.113434,POINT (45.12109375 12.41796875)
45.121094,12.425781,-22.261616,POINT (45.12109375 12.42578125)
45.121094,12.433594,-22.552904,POINT (45.12109375 12.43359375)
45.121094,12.441406,-23.451353,POINT (45.12109375 12.44140625)
45.121094,12.449219,-24.949001,POINT (45.12109375 12.44921875)
45.121094,12.457031,-25.655111,POINT (45.12109375 12.45703125)
45.121094,12.464844,-25.957096,POINT (45.12109375 12.46484375)
45.121094,12.472656,-26.01818,POINT (45.12109375 12.47265625)
45.121094,12.480469,-25.99788,POINT (45.12109375 12.48046875)
45.121094,12.488281,-25.968138,POINT (45.12109375 12.48828125)
45.121094,12.496094,-25.923784,POINT (45.12109375 12.49609375)
45.121094,12.503906,-25.875498,POINT (45.12109375 12.50390625)
45.121094,12.511719,-25.854868,POINT (45.12109375 12.51171875)
45.121094,12.519531,-25.898695,POINT (45.12109375 12.51953125)
45.121094,12.527344,-26.017065,POINT (45.12109375 12.52734375)
45.121094,12.535156,-26.183754,POINT (45.12109375 12.53515625)
45.121094,12.542969,-26.34597,POINT (45.12109375 12.54296875)
45.121094,12.550781,-26.476616,POINT (45.12109375 12.55078125)
45.121094,12.558594,-26.604128,POINT (45.12109375 12.55859375)
45.121094,12.566406,-26.796772,POINT (45.12109375 12.56640625)
45.121094,12.574219,-27.06389,POINT (45.12109375 12.57421875)
45.121094,12.582031,-27.329742,POINT (45.12109375 12.58203125)
45.121094,12.589844,-27.56296,POINT (45.12109375 12.58984375)
45.121094,12.597656,-27.751816,POINT (45.12109375 12.59765625)
45.121094,12.605469,-27.890676,POINT (45.12109375 12.60546875)
45.121094,12.613281,-28.00897,POINT (45.12109375 12.61328125)
45.121094,12.621094,-28.18399,POINT (45.12109375 12.62109375)
45.121094,12.628906,-28.435303,POINT (45.12109375 12.62890625)
45.121094,12.636719,-28.720284,POINT (45.12109375 12.63671875)
45.121094,12.644531,-28.983118,POINT (45.12109375 12.64453125)
45.121094,12.652344,-29.141117,POINT (45.12109375 12.65234375)
45.121094,12.660156,-29.19668,POINT (45.12109375 12.66015625)
45.121094,12.667969,-29.225557,POINT (45.12109375 12.66796875)
45.121094,12.675781,-29.268059,POINT (45.12109375 12.67578125)
45.121094,12.683594,-29.313744,POINT (45.12109375 12.68359375)
45.121094,12.691406,-29.3574,POINT (45.12109375 12.69140625)
45.128906,12.222656,0.0,POINT (45.12890625 12.22265625)
45.128906,12.230469,0.0,POINT (45.12890625 12.23046875)
45.128906,12.238281,0.0,POINT (45.12890625 12.23828125)
45.128906,12.246094,0.0,POINT (45.12890625 12.24609375)
45.128906,12.253906,0.0,POINT (45.12890625 12.25390625)
45.128906,12.261719,0.0,POINT (45.12890625 12.26171875)
45.128906,12.269531,0.0,POINT (45.12890625 12.26953125)
45.128906,12.277344,0.0,POINT (45.12890625 12.27734375)
45.128906,12.285156,0.0,POINT (45.12890625 12.28515625)
45.128906,12.292969,0.0,POINT (45.12890625 12.29296875)
45.128906,12.300781,0.0,POINT (45.12890625 12.30078125)
45.128906,12.308594,0.0,POINT (45.12890625 12.30859375)
45.128906,12.316406,0.0,POINT (45.12890625 12.31640625)
45.128906,12.324219,0.0,POINT (45.12890625 12.32421875)
45.128906,12.332031,-2.6961148,POINT (45.12890625 12.33203125)
45.128906,12.339844,-6.740226,POINT (45.12890625 12.33984375)
45.128906,12.347656,-10.618824,POINT (45.12890625 12.34765625)
45.128906,12.355469,-12.1262045,POINT (45.12890625 12.35546875)
45.128906,12.363281,-13.189633,POINT (45.12890625 12.36328125)
45.128906,12.371094,-15.005866,POINT (45.12890625 12.37109375)
45.128906,12.378906,-18.141628,POINT (45.12890625 12.37890625)
45.128906,12.386719,-19.860453,POINT (45.12890625 12.38671875)
